,Year,Province,Sex,Age_group,Indicators_Mental_Health,Num_Person_Mental_H,J_L_R_Dissatisfied,J_L_R_Going_to_school,J_L_R_not_worked_last_year,J_L_R_Job_leavers,J_L_R_Jobs_losers,J_L_R_Never_worked,J_L_R_Other_reasons,J_L_R_Own_illness_disability,J_L_R_Permanent_layoff,J_L_R_Personal_family_reasons,J_L_R_Retired,J_L_R_Temporary_layoff
0,2002,Alberta,Females,1,"Cannabis use, 12 months",63387.0,12300.0,42600.0,18600.0,71200.0,21500.0,49700.0,4000.0,0.0,21300.0,8200.0,0.0,0.0
1,2002,Alberta,Females,1,"Cannabis use, life",106926.0,12300.0,42600.0,18600.0,71200.0,21500.0,49700.0,4000.0,0.0,21300.0,8200.0,0.0,0.0
2,2002,Alberta,Females,1,"Eating disorder, current diagnosed condition",0.0,12300.0,42600.0,18600.0,71200.0,21500.0,49700.0,4000.0,0.0,21300.0,8200.0,0.0,0.0
3,2002,Alberta,Females,1,"Major depressive episode, 12 months",16289.0,12300.0,42600.0,18600.0,71200.0,21500.0,49700.0,4000.0,0.0,21300.0,8200.0,0.0,0.0
4,2002,Alberta,Females,1,"Major depressive episode, life",29945.0,12300.0,42600.0,18600.0,71200.0,21500.0,49700.0,4000.0,0.0,21300.0,8200.0,0.0,0.0
5,2002,Alberta,Females,1,"Perceived mental health, fair or poor",23539.0,12300.0,42600.0,18600.0,71200.0,21500.0,49700.0,4000.0,0.0,21300.0,8200.0,0.0,0.0
6,2002,Alberta,Females,1,"Perceived mental health, good",42278.0,12300.0,42600.0,18600.0,71200.0,21500.0,49700.0,4000.0,0.0,21300.0,8200.0,0.0,0.0
7,2002,Alberta,Females,1,"Perceived mental health, very good or excellent",154101.0,12300.0,42600.0,18600.0,71200.0,21500.0,49700.0,4000.0,0.0,21300.0,8200.0,0.0,0.0
8,2002,Alberta,Females,1,"Post-traumatic stress disorder, current diagnosed condition",0.0,12300.0,42600.0,18600.0,71200.0,21500.0,49700.0,4000.0,0.0,21300.0,8200.0,0.0,0.0
9,2002,Alberta,Females,1,"Self-rated work stress, days a bit stressful",68978.0,12300.0,42600.0,18600.0,71200.0,21500.0,49700.0,4000.0,0.0,21300.0,8200.0,0.0,0.0
10,2002,Alberta,Females,1,"Self-rated work stress, days not at all or not very stressful",75715.0,12300.0,42600.0,18600.0,71200.0,21500.0,49700.0,4000.0,0.0,21300.0,8200.0,0.0,0.0
11,2002,Alberta,Females,1,"Self-rated work stress, days quite a bit or extremely stressful",42567.0,12300.0,42600.0,18600.0,71200.0,21500.0,49700.0,4000.0,0.0,21300.0,8200.0,0.0,0.0
12,2002,Alberta,Females,1,"Suicidal thoughts, 12 months",18622.0,12300.0,42600.0,18600.0,71200.0,21500.0,49700.0,4000.0,0.0,21300.0,8200.0,0.0,0.0
13,2002,Alberta,Females,1,"Suicidal thoughts, life",44433.0,12300.0,42600.0,18600.0,71200.0,21500.0,49700.0,4000.0,0.0,21300.0,8200.0,0.0,0.0
14,2002,Alberta,Females,2,"Cannabis use, 12 months",42529.0,8800.0,9200.0,174900.0,66200.0,38100.0,20700.0,12700.0,12900.0,36300.0,19900.0,0.0,0.0
15,2002,Alberta,Females,2,"Cannabis use, life",245370.0,8800.0,9200.0,174900.0,66200.0,38100.0,20700.0,12700.0,12900.0,36300.0,19900.0,0.0,0.0
16,2002,Alberta,Females,2,"Eating disorder, current diagnosed condition",0.0,8800.0,9200.0,174900.0,66200.0,38100.0,20700.0,12700.0,12900.0,36300.0,19900.0,0.0,0.0
17,2002,Alberta,Females,2,"Major depressive episode, 12 months",30572.0,8800.0,9200.0,174900.0,66200.0,38100.0,20700.0,12700.0,12900.0,36300.0,19900.0,0.0,0.0
18,2002,Alberta,Females,2,"Major depressive episode, life",80096.0,8800.0,9200.0,174900.0,66200.0,38100.0,20700.0,12700.0,12900.0,36300.0,19900.0,0.0,0.0
19,2002,Alberta,Females,2,"Perceived mental health, fair or poor",34043.0,8800.0,9200.0,174900.0,66200.0,38100.0,20700.0,12700.0,12900.0,36300.0,19900.0,0.0,0.0
20,2002,Alberta,Females,2,"Perceived mental health, good",159209.0,8800.0,9200.0,174900.0,66200.0,38100.0,20700.0,12700.0,12900.0,36300.0,19900.0,0.0,0.0
21,2002,Alberta,Females,2,"Perceived mental health, very good or excellent",287662.0,8800.0,9200.0,174900.0,66200.0,38100.0,20700.0,12700.0,12900.0,36300.0,19900.0,0.0,0.0
22,2002,Alberta,Females,2,"Post-traumatic stress disorder, current diagnosed condition",8804.0,8800.0,9200.0,174900.0,66200.0,38100.0,20700.0,12700.0,12900.0,36300.0,19900.0,0.0,0.0
23,2002,Alberta,Females,2,"Self-rated work stress, days a bit stressful",169237.0,8800.0,9200.0,174900.0,66200.0,38100.0,20700.0,12700.0,12900.0,36300.0,19900.0,0.0,0.0
24,2002,Alberta,Females,2,"Self-rated work stress, days not at all or not very stressful",101767.0,8800.0,9200.0,174900.0,66200.0,38100.0,20700.0,12700.0,12900.0,36300.0,19900.0,0.0,0.0
25,2002,Alberta,Females,2,"Self-rated work stress, days quite a bit or extremely stressful",127314.0,8800.0,9200.0,174900.0,66200.0,38100.0,20700.0,12700.0,12900.0,36300.0,19900.0,0.0,0.0
26,2002,Alberta,Females,2,"Suicidal thoughts, 12 months",12135.0,8800.0,9200.0,174900.0,66200.0,38100.0,20700.0,12700.0,12900.0,36300.0,19900.0,0.0,0.0
