,Year,Province,Sex,Age_group,Num_Person_Health,J_L_R_Dissatisfied,J_L_R_Going_to_school,J_L_R_not_worked_last_year,J_L_R_Job_leavers,J_L_R_Jobs_losers,J_L_R_Never_worked,J_L_R_Other_reasons,J_L_R_Own_illness_disability,J_L_R_Permanent_layoff,J_L_R_Personal_family_reasons,J_L_R_Retired,J_L_R_Temporary_layoff,Indicators_Health,class
0,2017,Alberta,Females,1,14300.0,5000.0,37700.0,24600.0,51400.0,24000.0,103400.0,1700.0,0.0,23500.0,1500.0,0.0,0.0,Arthritis (15 years and over),1
1,2017,Alberta,Females,1,50600.0,5000.0,37700.0,24600.0,51400.0,24000.0,103400.0,1700.0,0.0,23500.0,1500.0,0.0,0.0,Asthma,1
2,2017,Alberta,Females,1,82500.0,5000.0,37700.0,24600.0,51400.0,24000.0,103400.0,1700.0,0.0,23500.0,1500.0,0.0,0.0,"Body mass index, adjusted self-reported, adult (18 years and over), obese",1
3,2017,Alberta,Females,1,112700.0,5000.0,37700.0,24600.0,51400.0,24000.0,103400.0,1700.0,0.0,23500.0,1500.0,0.0,0.0,"Body mass index, adjusted self-reported, adult (18 years and over), overweight",1
4,2017,Alberta,Females,1,133500.0,5000.0,37700.0,24600.0,51400.0,24000.0,103400.0,1700.0,0.0,23500.0,1500.0,0.0,0.0,Breast milk feeding initiation,1
5,2017,Alberta,Females,1,0.0,5000.0,37700.0,24600.0,51400.0,24000.0,103400.0,1700.0,0.0,23500.0,1500.0,0.0,0.0,Chronic obstructive pulmonary disease (COPD; 35 years and over),1
6,2017,Alberta,Females,1,0.0,5000.0,37700.0,24600.0,51400.0,24000.0,103400.0,1700.0,0.0,23500.0,1500.0,0.0,0.0,Contact with a medical doctor in the past 12 months,1
7,2017,Alberta,Females,1,43900.0,5000.0,37700.0,24600.0,51400.0,24000.0,103400.0,1700.0,0.0,23500.0,1500.0,0.0,0.0,"Current smoker, daily",1
8,2017,Alberta,Females,1,82600.0,5000.0,37700.0,24600.0,51400.0,24000.0,103400.0,1700.0,0.0,23500.0,1500.0,0.0,0.0,"Current smoker, daily or occasional",1
9,2017,Alberta,Females,1,6800.0,5000.0,37700.0,24600.0,51400.0,24000.0,103400.0,1700.0,0.0,23500.0,1500.0,0.0,0.0,Diabetes,1
10,2017,Alberta,Females,1,46700.0,5000.0,37700.0,24600.0,51400.0,24000.0,103400.0,1700.0,0.0,23500.0,1500.0,0.0,0.0,"Exclusive breastfeeding, at least 6 months",1
11,2017,Alberta,Females,1,156700.0,5000.0,37700.0,24600.0,51400.0,24000.0,103400.0,1700.0,0.0,23500.0,1500.0,0.0,0.0,"Fruit and vegetable consumption, 5 times or more per day",1
12,2017,Alberta,Females,1,432500.0,5000.0,37700.0,24600.0,51400.0,24000.0,103400.0,1700.0,0.0,23500.0,1500.0,0.0,0.0,Has a regular healthcare provider,1
