REF_DATE,GEO,Sex,Age group,Indicators,VALUE
2017,Alberta,Females,1,Arthritis (15 years and over),14300.0
2017,Alberta,Females,1,Asthma,50600.0
2017,Alberta,Females,1,"Body mass index, adjusted self-reported, adult (18 years and over), obese",82500.0
2017,Alberta,Females,1,"Body mass index, adjusted self-reported, adult (18 years and over), overweight",112700.0
2017,Alberta,Females,1,Breast milk feeding initiation,133500.0
2017,Alberta,Females,1,Chronic obstructive pulmonary disease (COPD; 35 years and over),0.0
2017,Alberta,Females,1,Contact with a medical doctor in the past 12 months,0.0
2017,Alberta,Females,1,"Current smoker, daily",43900.0
2017,Alberta,Females,1,"Current smoker, daily or occasional",82600.0
2017,Alberta,Females,1,Diabetes,6800.0
2017,Alberta,Females,1,"Exclusive breastfeeding, at least 6 months",46700.0
2017,Alberta,Females,1,"Fruit and vegetable consumption, 5 times or more per day",156700.0
2017,Alberta,Females,1,Has a regular healthcare provider,432500.0
2017,Alberta,Females,1,Heavy drinking,128800.0
2017,Alberta,Females,1,High blood pressure,0.0
2017,Alberta,Females,1,Influenza immunization in the past 12 months,169200.0
2017,Alberta,Females,1,"Life satisfaction, satisfied or very satisfied",493900.0
2017,Alberta,Females,1,Mood disorder,72300.0
2017,Alberta,Females,1,"Perceived health, fair or poor",35200.0
2017,Alberta,Females,1,"Perceived health, very good or excellent",359700.0
2017,Alberta,Females,1,"Perceived life stress, most days quite a bit or extremely stressful",122700.0
2017,Alberta,Females,1,"Perceived mental health, fair or poor",52700.0
2017,Alberta,Females,1,"Perceived mental health, very good or excellent",325300.0
2017,Alberta,Females,1,"Self-reported physical activity, 150 minutes per week, adult (18 years and over)",336800.0
2017,Alberta,Females,1,"Sense of belonging to local community, somewhat strong or very strong",335600.0
2017,Alberta,Females,2,Arthritis (15 years and over),44600.0
2017,Alberta,Females,2,Asthma,39500.0
2017,Alberta,Females,2,"Body mass index, adjusted self-reported, adult (18 years and over), obese",133000.0
2017,Alberta,Females,2,"Body mass index, adjusted self-reported, adult (18 years and over), overweight",112300.0
2017,Alberta,Females,2,Breast milk feeding initiation,61400.0
2017,Alberta,Females,2,Chronic obstructive pulmonary disease (COPD; 35 years and over),7900.0
2017,Alberta,Females,2,Contact with a medical doctor in the past 12 months,0.0
2017,Alberta,Females,2,"Current smoker, daily",50900.0
2017,Alberta,Females,2,"Current smoker, daily or occasional",58000.0
2017,Alberta,Females,2,Diabetes,15400.0
2017,Alberta,Females,2,"Exclusive breastfeeding, at least 6 months",22300.0
2017,Alberta,Females,2,"Fruit and vegetable consumption, 5 times or more per day",159600.0
2017,Alberta,Females,2,Has a regular healthcare provider,391100.0
2017,Alberta,Females,2,Heavy drinking,79600.0
2017,Alberta,Females,2,High blood pressure,40800.0
2017,Alberta,Females,2,Influenza immunization in the past 12 months,132600.0
2017,Alberta,Females,2,"Life satisfaction, satisfied or very satisfied",414500.0
2017,Alberta,Females,2,Mood disorder,54200.0
2017,Alberta,Females,2,"Perceived health, fair or poor",34800.0
2017,Alberta,Females,2,"Perceived health, very good or excellent",288700.0
2017,Alberta,Females,2,"Perceived life stress, most days quite a bit or extremely stressful",101900.0
2017,Alberta,Females,2,"Perceived mental health, fair or poor",26700.0
2017,Alberta,Females,2,"Perceived mental health, very good or excellent",307100.0
2017,Alberta,Females,2,"Self-reported physical activity, 150 minutes per week, adult (18 years and over)",275400.0
2017,Alberta,Females,2,"Sense of belonging to local community, somewhat strong or very strong",286400.0
2017,Alberta,Females,3,Arthritis (15 years and over),127600.0
2017,Alberta,Females,3,Asthma,24800.0
2017,Alberta,Females,3,"Body mass index, adjusted self-reported, adult (18 years and over), obese",112400.0
2017,Alberta,Females,3,"Body mass index, adjusted self-reported, adult (18 years and over), overweight",112000.0
2017,Alberta,Females,3,Breast milk feeding initiation,0.0
2017,Alberta,Females,3,Chronic obstructive pulmonary disease (COPD; 35 years and over),16100.0
2017,Alberta,Females,3,Contact with a medical doctor in the past 12 months,0.0
2017,Alberta,Females,3,"Current smoker, daily",42000.0
2017,Alberta,Females,3,"Current smoker, daily or occasional",49400.0
2017,Alberta,Females,3,Diabetes,45300.0
2017,Alberta,Females,3,"Exclusive breastfeeding, at least 6 months",0.0
2017,Alberta,Females,3,"Fruit and vegetable consumption, 5 times or more per day",125800.0
2017,Alberta,Females,3,Has a regular healthcare provider,355800.0
2017,Alberta,Females,3,Heavy drinking,35100.0
2017,Alberta,Females,3,High blood pressure,79500.0
2017,Alberta,Females,3,Influenza immunization in the past 12 months,183000.0
2017,Alberta,Females,3,"Life satisfaction, satisfied or very satisfied",344900.0
2017,Alberta,Females,3,Mood disorder,54300.0
2017,Alberta,Females,3,"Perceived health, fair or poor",51500.0
2017,Alberta,Females,3,"Perceived health, very good or excellent",223500.0
2017,Alberta,Females,3,"Perceived life stress, most days quite a bit or extremely stressful",78700.0
2017,Alberta,Females,3,"Perceived mental health, fair or poor",26200.0
2017,Alberta,Females,3,"Perceived mental health, very good or excellent",265200.0
2017,Alberta,Females,3,"Self-reported physical activity, 150 minutes per week, adult (18 years and over)",230400.0
2017,Alberta,Females,3,"Sense of belonging to local community, somewhat strong or very strong",258600.0
2017,Alberta,Females,4,Arthritis (15 years and over),147900.0
2017,Alberta,Females,4,Asthma,17900.0
2017,Alberta,Females,4,"Body mass index, adjusted self-reported, adult (18 years and over), obese",66800.0
2017,Alberta,Females,4,"Body mass index, adjusted self-reported, adult (18 years and over), overweight",91600.0
2017,Alberta,Females,4,Breast milk feeding initiation,0.0
2017,Alberta,Females,4,Chronic obstructive pulmonary disease (COPD; 35 years and over),20200.0
2017,Alberta,Females,4,Contact with a medical doctor in the past 12 months,0.0
2017,Alberta,Females,4,"Current smoker, daily",22700.0
2017,Alberta,Females,4,"Current smoker, daily or occasional",28900.0
2017,Alberta,Females,4,Diabetes,40000.0
2017,Alberta,Females,4,"Exclusive breastfeeding, at least 6 months",0.0
2017,Alberta,Females,4,"Fruit and vegetable consumption, 5 times or more per day",87700.0
2017,Alberta,Females,4,Has a regular healthcare provider,256000.0
2017,Alberta,Females,4,Heavy drinking,13500.0
2017,Alberta,Females,4,High blood pressure,125900.0
2017,Alberta,Females,4,Influenza immunization in the past 12 months,153900.0
2017,Alberta,Females,4,"Life satisfaction, satisfied or very satisfied",219200.0
2017,Alberta,Females,4,Mood disorder,25700.0
2017,Alberta,Females,4,"Perceived health, fair or poor",49600.0
2017,Alberta,Females,4,"Perceived health, very good or excellent",137600.0
2017,Alberta,Females,4,"Perceived life stress, most days quite a bit or extremely stressful",36400.0
2017,Alberta,Females,4,"Perceived mental health, fair or poor",9200.0
2017,Alberta,Females,4,"Perceived mental health, very good or excellent",185800.0
2017,Alberta,Females,4,"Self-reported physical activity, 150 minutes per week, adult (18 years and over)",96700.0
2017,Alberta,Females,4,"Sense of belonging to local community, somewhat strong or very strong",187300.0
2017,Alberta,Males,1,Arthritis (15 years and over),11700.0
2017,Alberta,Males,1,Asthma,51800.0
